hello :-)!	Time Interval: 1479086849.711410	Running Time: 0.000000
[(1.626871943473816,), (0.7691898941993713,), (2.149902582168579,)]	Time Interval: 0.008663	Running Time: 1.881049
[(1.626753568649292,), (0.7692792415618896,), (2.1483633518218994,)]	Time Interval: 0.008702	Running Time: 1.889751
[(1.625820279121399,), (0.769264817237854,), (2.1465389728546143,)]	Time Interval: 0.008194	Running Time: 1.897945
[(1.6257404088974,), (0.7691363096237183,), (2.1452503204345703,)]	Time Interval: 0.007836	Running Time: 1.905781
[(1.625879168510437,), (0.7690289616584778,), (2.143251419067383,)]	Time Interval: 0.008789	Running Time: 1.914570
[(1.6250027418136597,), (0.7690312266349792,), (2.141777753829956,)]	Time Interval: 0.007824	Running Time: 1.922394
[(1.6251124143600464,), (0.7689852714538574,), (2.1393048763275146,)]	Time Interval: 0.008950	Running Time: 1.931344
[(1.6244471073150635,), (0.7688883543014526,), (2.137146234512329,)]	Time Interval: 0.007825	Running Time: 1.939169
[(1.6233844757080078,), (0.7688465118408203,), (2.1352972984313965,)]	Time Interval: 0.009378	Running Time: 1.948547
[(1.6225576400756836,), (0.7684099078178406,), (2.132457733154297,)]	Time Interval: 0.007590	Running Time: 1.956137
[(1.6215115785598755,), (0.768842875957489,), (2.1298248767852783,)]	Time Interval: 0.008900	Running Time: 1.965037
[(1.6204928159713745,), (0.7683653831481934,), (2.126936674118042,)]	Time Interval: 0.007816	Running Time: 1.972853
[(1.6193969249725342,), (0.7689706683158875,), (2.1241862773895264,)]	Time Interval: 0.008817	Running Time: 1.981670
[(1.6184278726577759,), (0.7685250043869019,), (2.121188163757324,)]	Time Interval: 0.008023	Running Time: 1.989693
[(1.6173104047775269,), (0.7687962055206299,), (2.118180513381958,)]	Time Interval: 0.009383	Running Time: 1.999076
[(1.6165436506271362,), (0.7683325409889221,), (2.1142024993896484,)]	Time Interval: 0.007769	Running Time: 2.006845
[(1.614710807800293,), (0.7690568566322327,), (2.111553430557251,)]	Time Interval: 0.008654	Running Time: 2.015499
[(1.6131385564804077,), (0.7691291570663452,), (2.1085562705993652,)]	Time Interval: 0.007446	Running Time: 2.022945
